sample	collection_date	region	collection_year	country	host	other
210509	2021-10-19	72	2021	France	swine	
210511	2021-10-21	29	2021	France	swine	
210512	2021-10-21	22	2021	France	swine	
210518	2021-09-07	35	2021	France	swine	
210519	2021-09-01	35	2021	France	swine	
210520	2021-09-21	29	2021	France	swine	
210521	2021-09-24	29	2021	France	swine	
210536	2021-11-23	29	2021	France	swine	
210541	2021-11-30	22	2021	France	swine	
210515	2021-10-28	29	2021	France	swine	
210531	2021-11-15	35	2021	France	swine	
210561	2021-11-29	50	2021	France	swine	
210563	2021-12-06	29	2021	France	swine	
220035	2021-11-24	22	2021	France	swine	
220001	2021-12-22	35	2021	France	swine	
220016	2021-12-27	72	2021	France	swine	
220033	2022-01-18	29	2022	France	swine	
220017	2022-01-03	72	2022	France	swine	
220119	2022-01-17	72	2022	France	swine	
220077	2022-01-26	15	2022	France	swine	
220081	2022-02-03	56	2022	France	swine	
220082	2022-02-12	05	2022	France	swine	
220084	2022-02-08	50	2022	France	swine	
220092	2022-02-17	01	2022	France	swine	
220173	2022-01-18	29	2022	France	swine	
220174	2022-02-01	22	2022	France	swine	
220136	2022-03-10	29	2022	France	swine	
220101	2022-02-23	49	2022	France	swine	
220129	2022-03-02	81	2022	France	swine	
220188	2022-03-13	37	2022	France	swine	
220189	2022-03-21	44	2022	France	swine	
220294	2022-01-25	22	2022	France	swine	
220295	2022-02-17	53	2022	France	swine	
220374	2022-03-17	56	2022	France	swine	
220375	2022-03-11	27	2022	France	swine	
220332	2022-04-26	22	2022	France	swine	
220342	2022-04-23	01	2022	France	swine	
220345	2022-05-02	22	2022	France	swine	
220428	2022-04-25	35	2022	France	swine	
220413	2022-05-27	01	2022	France	swine	
220406	2022-05-12	59	2022	France	swine	
220451	2022-05-30	22	2022	France	swine	
220429	2022-06-09	56	2022	France	swine	
220437	2022-06-09	59	2022	France	swine	
220447	2022-06-16	35	2022	France	swine	
220448	2022-06-27	35	2022	France	swine	
220536	2022-05-30	59	2022	France	swine	
220524	2022-08-09	22	2022	France	swine	
220525	2022-08-09	22	2022	France	swine	
220527	2022-08-11	80	2022	France	swine	
220506	2022-07-28	29	2022	France	swine	
220533	2022-08-30	56	2022	France	swine	
220545	2022-09-13	22	2022	France	swine	
220615	2022-09-23	29	2022	France	swine	
220636	2022-10-26	29	2022	France	swine	
220648	2022-10-03	33	2022	France	swine	
220664	2022-09-21	22	2022	France	swine	
220666	2022-10-03	22	2022	France	swine	
220651	2022-11-07	56	2022	France	swine	
220656	2022-11-08	72	2022	France	swine	
220659	2022-11-15	35	2022	France	swine	
220661	2022-11-21	64	2022	France	swine	
220698	2022-11-08	29	2022	France	swine	
220699	2022-11-03	33	2022	France	swine	
220669	2022-11-18	50	2022	France	swine	
220685	2022-12-01	29	2022	France	swine	
220691	2022-12-06	56	2022	France	swine	
220706	2022-12-02	59	2022	France	swine	
230004	2022-12-20	72	2022	France	swine	
230007	2022-12-23	50	2022	France	swine	
230070	2022-12-29	49	2022	France	swine	
230071	2022-11-22	53	2022	France	swine	
230091	2022-10-14	59	2022	France	swine	
230094	2022-11-09	24	2022	France	swine	
230181	2022-12-06	22	2022	France	swine	
230183	2022-12-21	59	2022	France	swine	
220383	2022-05-18  22	?	2022	France	swine	PIGIE
230020	?	?	2023	France	swine	PIGIE
230028	?	?	2023	France	swine	PIGIE
230032	?	?	2023	France	swine	PIGIE
230038	?	?	2023	France	swine	PIGIE
230046	?	?	2023	France	swine	PIGIE
230054	?	?	2023	France	swine	PIGIE
230072	2023-01-03	56	2023	France	swine	
230073	2023-01-04	29	2023	France	swine	
230087	2023-01-06	35	2023	France	swine	
230088	2023-01-06	35	2023	France	swine	
230090	2023-01-10	35	2023	France	swine	
230096	2023-01-16	38	2023	France	swine	
230097	2023-01-12	56	2023	France	swine	
230119	2023-01-20	72	2023	France	swine	
230120	2023-01-24	72	2023	France	swine	
230121	2023-01-30	49	2023	France	swine	
230124	2023-01-30	35	2023	France	swine	
230125	2023-02-02	29	2023	France	swine	
230126	2023-01-25	56	2023	France	swine	
230137	2023-02-10	29	2023	France	swine	
230151	2023-02-16	29	2023	France	swine	
230152	2023-02-03	72	2023	France	swine	
230156	2023-02-23	56	2023	France	swine	
230157	2023-02-22	56	2023	France	swine	
230158	2023-02-22	56	2023	France	swine	
230176	2023-02-28	50	2023	France	swine	
230184	2023-01-09	29	2023	France	swine	
230190	2023-03-08	53	2023	France	swine	
230192	2023-03-01	35	2023	France	swine	
230201	2023-03-13	22	2023	France	swine	
230209	2023-03-13	56	2023	France	swine	
230210	2023-03-23	22	2023	France	swine	
230211	2023-03-22	22	2023	France	swine	
230212	2023-03-23	29	2023	France	swine	
230213	2023-01-19	14	2023	France	swine	
230228	2023-01-02	53	2023	France	swine	
230229	2023-01-03	56	2023	France	swine	
230230	2023-01-19	59	2023	France	swine	
230231	2023-01-27	22	2023	France	swine	
230267	2023-03-28	64	2023	France	swine	
230268	2023-03-22	49	2023	France	swine	
230285	2023-04-11	35	2023	France	swine	
230286	2023-04-11	35	2023	France	swine	
230287	2023-04-13	01	2023	France	swine	
230323	2023-04-17	35	2023	France	swine	
230324	2023-04-17	22	2023	France	swine	
230325	2023-04-17	22	2023	France	swine	
230326	2023-04-25	29	2023	France	swine	
230327	2023-04-19	35	2023	France	swine	
230334	2023-04-24	59	2023	France	swine	
230339	2023-05-03	29	2023	France	swine	
230349	2023-05-15	35	2023	France	swine	
230350	2023-05-17	29	2023	France	swine	
230371	2023-05-24	22	2023	France	swine	
230372	2023-03-14	35	2023	France	swine	
230373	2023-03-01	56	2023	France	swine	
230374	2023-03-15	56	2023	France	swine	
230378	2023-06-01	29	2023	France	swine	
230394	2023-06-07	22	2023	France	swine	
230395	2023-06-06	56	2023	France	swine	
230399	2023-04-14	59	2023	France	swine	
230400	2023-03-28	56	2023	France	swine	
230401	2023-05-03	76	2023	France	swine	
230407	2023-06-08	29	2023	France	swine	
230416	2023-06-16	22	2023	France	swine	
230417	2023-06-20	22	2023	France	swine	
230426	2023-06-29	22	2023	France	swine	
230427	2023-07-06	29	2023	France	swine	
230428	2023-07-06	22	2023	France	swine	
230431	2023-07-11	22	2023	France	swine	
230434	2023-07-19	56	2023	France	swine	
230435	2023-07-17	35	2023	France	swine	
230442	2023-07-24	22	2023	France	swine	
230443	2023-07-26	24	2023	France	swine	
230444	2023-05-23	29	2023	France	swine	
230446	2023-08-08	72	2023	France	swine	
230480	2023-08-24	22	2023	France	swine	
230481	2023-08-26	59	2023	France	swine	
230484	2023-09-04	29	2023	France	swine	
230485	2023-09-01	22	2023	France	swine	
